NAME;STUSAB;INTPTLAT;INTPTLON
Cape May;NJ;39.0858411;-74.8463541
Cheshire;NH;42.9254596;-72.2481828
Calvert;MD;38.5227191;-76.5297621
Sandoval;NM;35.6850913;-106.8831191
Washington;OK;36.7043803;-95.9061545
Maverick;TX;28.7297873;-100.316678
Sampson;NC;34.9892978;-78.3711743
Sullivan;TN;36.5096806;-82.3013363
Crook;WY;44.5892657;-104.5672975
Rush;IN;39.6223785;-85.4664463
Saline;MO;39.1358403;-93.2041639
Anne Arundel;MD;38.9916174;-76.5608941
Webster;WV;38.483459;-80.4490515
Putnam;IL;41.1989613;-89.2983474
Cleburne;AR;35.5663146;-92.0599504
Itasca;MN;47.4908166;-93.6111022
Sussex;DE;38.6732275;-75.3370237
Hancock;IN;39.8225286;-85.7731503
Jasper;MO;37.2051967;-94.3372594
Snohomish;WA;48.070464;-121.936784
Mason;IL;40.2369926;-89.9135746
Yakima;WA;46.4565581;-120.7401446
Henderson;TX;32.2116334;-95.8534183
LaGrange;IN;41.6424623;-85.4278448
Peach;GA;32.5713241;-83.8319779
Jefferson;WV;39.3073985;-77.86322
Tarrant;TX;32.7721191;-97.2912241
Scott;MS;32.4119595;-89.5334861
Knox;IN;38.688391;-87.4203544
Dawson;NE;40.8673784;-99.8151537
Fergus;MT;47.2252211;-109.2321376
San Benito;CA;36.6116507;-121.0858108
Granite;MT;46.3959554;-113.4273564
Wexford;MI;44.3313751;-85.5700462
Smyth;VA;36.8423183;-81.5397861
Isanti;MN;45.5624313;-93.2963388
Van Zandt;TX;32.5587866;-95.8369057
Ocean;NJ;39.865669;-74.2588636
Ogle;IL;42.041884;-89.3201764
Clay;KS;39.3449643;-97.1688527
Caldwell;MO;39.6589977;-93.9791785
Bell;KY;36.7289281;-83.680718
Fresno;CA;36.7610058;-119.6550193
Dallam;TX;36.2863696;-102.5940204
Wood;TX;32.7835881;-95.3821664
Shawano;WI;44.7896407;-88.7558134
Le Sueur;MN;44.3734238;-93.7301433
Vega Alta;PR;18.4361633;-66.3366734
Harford;MD;39.5374292;-76.2997894
Calumet;WI;44.0784104;-88.2121322
Pacific;WA;46.5565866;-123.7824193
Aleutians East;AK;55.2450437;-161.9974772
Monroe;NY;43.4644839;-77.6646584
Kauai;HI;22.0120383;-159.7059653
Noxubee;MS;33.1065082;-88.5660044
Wasco;OR;45.1645359;-121.1650693
Wilson;TN;36.149527;-86.2912423
Schoharie;NY;42.591294;-74.4381718
Marion;WV;39.5058387;-80.2434018
Douglas;WI;46.4632185;-91.8924773
Edgecombe;NC;35.9170773;-77.6027422
Norton;VA;36.9315489;-82.625996
McClain;OK;35.0164359;-97.4498032
Villalba;PR;18.1307185;-66.4722435
Warren;GA;33.4191691;-82.6880123
Roosevelt;MT;48.2827471;-104.9951698
Cowlitz;WA;46.1967854;-122.6784596
Yadkin;NC;36.1587653;-80.6651641
Saline;KS;38.7918043;-97.6514783
DuPage;IL;41.8520577;-88.0860389
Fillmore;NE;40.5250399;-97.5967053
Aleutians West;AK;51.948964;179.6211882
Livingston;KY;37.2095174;-88.3634261
Adams;PA;39.8694707;-77.2177296
Utah;UT;40.1204248;-111.6685082
Kings;NY;40.6350451;-73.9506398
Todd;KY;36.8403384;-87.1836416
Northampton;PA;40.7527913;-75.3074468
Columbiana;OH;40.770073;-80.778455
Marion;FL;29.2028047;-82.0431004
Lake;IL;42.326441;-87.435976
Kit Carson;CO;39.3053399;-102.6030226
Johnson;TN;36.4532029;-81.8612467
Carroll;KY;38.6683939;-85.1240238
Polk;TN;35.1094371;-84.5411124
Renville;ND;48.7127815;-101.6581522
Tom Green;TX;31.3988233;-100.4637879
Monroe;IA;41.0288473;-92.8696415
Dillon;SC;34.3901723;-79.3749638
Furnas;NE;40.191865;-99.9096631
Dunn;ND;47.3545572;-102.6123216
Branch;MI;41.9184551;-85.0668852
Pendleton;KY;38.6962842;-84.3519435
Franklin;TN;35.1559259;-86.0992032
Grady;GA;30.8759076;-84.2450803
Plumas;CA;39.9922953;-120.8243709
Wasatch;UT;40.3348838;-111.1615683
Cuyahoga;OH;41.7603919;-81.7242168
Petroleum;MT;47.1419168;-108.2265753
Crockett;TN;35.8187949;-89.1324936
Sierra;NM;33.1194684;-107.1881612
Morrill;NE;41.7322039;-102.9905936
Chautauqua;KS;37.1542592;-96.2453962
Randolph;AL;33.2964753;-85.4640679
Sheridan;MT;48.7055228;-104.5339129
York;SC;34.9701875;-81.1831873
Washington;IN;38.6006126;-86.1047512
Camas;ID;43.5025515;-114.7721349
Lewis;WV;38.9888773;-80.4954773
Payne;OK;36.0792254;-96.9752553
Nelson;KY;37.8031198;-85.4659312
Colonial Heights;VA;37.2616846;-77.3968043
Franklin;MA;42.5845038;-72.5917921
Chatham;NC;35.7049939;-79.2514542
Kerr;TX;30.059953;-99.3533388
Chickasaw;MS;33.9332767;-88.9475579
Charlton;GA;30.7799036;-82.1396442
Kootenai;ID;47.6759658;-116.6959222
Brazos;TX;30.6567132;-96.3023935
Franklin;NC;36.0882406;-78.2830903
Meagher;MT;46.5856996;-110.9217396
Henry;VA;36.7814785;-79.7592313
Wayne;MI;42.2846636;-83.2619533
Scioto;OH;38.8148886;-82.998675
Clay;TN;36.5457493;-85.5457173
Muhlenberg;KY;37.2138159;-87.1340919
Miami-Dade;FL;25.6105799;-80.4970989
Amherst;VA;37.6293036;-79.1546672
Jayuya;PR;18.2111522;-66.58687
Fayette;TX;29.8778861;-96.9212309
Washington;TX;30.2150752;-96.4102717
Cameron;PA;41.4382909;-78.1983225
Clark;IL;39.3323343;-87.7916832
Black Hawk;IA;42.4711317;-92.3076003
Rock Island;IL;41.4684205;-90.5721252
Carroll;IN;40.5849801;-86.5651412
Philadelphia;PA;40.0093755;-75.1333459
Watonwan;MN;43.9781089;-94.613798
Elmore;ID;43.3946984;-115.471205
Bartow;GA;34.2409175;-84.8381879
Ozark;MO;36.6495904;-92.4585492
Butte;ID;43.685101;-113.1776308
Barranquitas;PR;18.2000184;-66.3092822
Weber;UT;41.2703252;-111.876883
Marion;MO;39.8075383;-91.6353791
Clinton;NY;44.752712;-73.7056429
Aiken;SC;33.5500134;-81.632983
Newberry;SC;34.2898805;-81.5996761
Yankton;SD;43.006603;-97.3883614
Ponce;PR;18.0017167;-66.6066625
Wyoming;PA;41.5251726;-76.008731
Denali;AK;63.6820386;-150.0270164
Taylor;KY;37.3662101;-85.3280585
Logan;WV;37.8305905;-81.940853
Miami;KS;38.5667718;-94.8329626
Prince William;VA;38.7011187;-77.4795791
Pointe Coupee;LA;30.708319;-91.6046207
Hardin;IL;37.5178517;-88.2661478
Erie;NY;42.752759;-78.7781922
Estill;KY;37.6924493;-83.9639825
Hood River;OR;45.5117753;-121.6559762
Montgomery;IA;41.0217348;-95.1577896
Flagler;FL;29.4748909;-81.2862532
Pike;GA;33.0812241;-84.3898475
Bon Homme;SD;42.985799;-97.8841987
Orangeburg;SC;33.436135;-80.8029131
Cochran;TX;33.6084401;-102.830449
Jackson;NC;35.2810521;-83.1199622
Summit;UT;40.8720603;-110.9684862
Comanche;OK;34.66263;-98.4766117
Modoc;CA;41.5929185;-120.7183704
Cumberland;TN;35.9523984;-84.9947614
Sherburne;MN;45.4531762;-93.76913
Davison;SD;43.6804393;-98.1558683
Pulaski;GA;32.2388026;-83.4818454
