zip,zip,population,gay tax rate,overall tax paid,income
11693,11693,10360.0,1340,220.0,1
11694,11694,15740.0,2790,281.0,1
11697,11697,3740.0,840,22.0,1
11709,11709,6420.0,1410,102.0,1
11710,11710,34190.0,7600,443.0,1
11732,11732,3420.0,790,62.0,1
11753,11753,13670.0,3380,277.0,1
11756,11756,42530.0,8900,473.0,1
11765,11765,570.0,0,31.0,1
11771,11771,9460.0,2020,207.0,1
11791,11791,25660.0,6180,368.0,1
11793,11793,32350.0,7370,305.0,1
11801,11801,40280.0,8550,829.0,1
18914,18914,20670.0,4840,211.0,1
18925,18925,6290.0,1520,53.0,1
18929,18929,8950.0,2180,84.0,1
18936,18936,350.0,0,0.0,1
18940,18940,29900.0,7280,381.0,1
18954,18954,9690.0,2540,138.0,1
18966,18966,37750.0,9130,496.0,1
18974,18974,39740.0,9090,515.0,1
18976,18976,20590.0,4820,199.0,1
19001,19001,16520.0,3370,176.0,1
19002,19002,31500.0,7230,477.0,1
19003,19003,11990.0,2370,220.0,1
19004,19004,10000.0,2290,178.0,1
19006,19006,21780.0,5330,447.0,1
19007,19007,19250.0,2880,317.0,1
19008,19008,19950.0,4750,309.0,1
19010,19010,16780.0,3830,282.0,1
19012,19012,6400.0,1270,88.0,1
19013,19013,25530.0,1170,194.0,1
19014,19014,19440.0,4150,176.0,1
19015,19015,14940.0,2410,160.0,1
19018,19018,21390.0,3630,269.0,1
19020,19020,52590.0,10350,784.0,1
19021,19021,9200.0,1620,146.0,1
19022,19022,3060.0,370,33.0,1
19023,19023,18890.0,1340,129.0,1
19025,19025,5730.0,1450,85.0,1
19026,19026,29370.0,5510,398.0,1
19027,19027,17890.0,3280,230.0,1
19029,19029,3660.0,580,48.0,1
19030,19030,11430.0,2400,171.0,1
19031,19031,4300.0,1020,63.0,1
19032,19032,6060.0,730,95.0,1
19033,19033,7340.0,1480,79.0,1
19034,19034,6520.0,1610,105.0,1
19035,19035,3860.0,970,56.0,1
19036,19036,11820.0,1960,133.0,1
19038,19038,29240.0,6240,365.0,1
19040,19040,20780.0,4490,292.0,1
19041,19041,5100.0,1200,96.0,1
19043,19043,2610.0,480,23.0,1
19044,19044,15720.0,3140,197.0,1
19046,19046,17430.0,3910,230.0,1
19047,19047,32180.0,7520,373.0,1
19050,19050,26310.0,3120,404.0,1
19053,19053,26390.0,5830,464.0,1
19054,19054,16400.0,3200,217.0,1
19055,19055,12760.0,2480,187.0,1
19056,19056,14630.0,2980,180.0,1
19057,19057,15650.0,2830,172.0,1
19061,19061,17900.0,3030,204.0,1
19063,19063,33630.0,7630,497.0,1
19064,19064,24550.0,5830,217.0,1
19066,19066,5380.0,1320,86.0,1
19067,19067,50570.0,11200,711.0,1
