,name,lat,long
387,Eastland TX,32.3246454,-98.8365596
388,Paulding OH,41.1189483,-84.5821249
389,Ringgold IA,40.7353342,-94.2442514
390,Jefferson PA,41.1380282,-79.012419
391,Jerauld SD,44.0634099,-98.6231702
392,Mineral NV,38.516647,-118.4162794
393,Ottawa OK,36.8357635,-94.8026814
394,Beaufort NC,35.4823128,-76.8420144
395,Tunica MS,34.6522011,-90.3717697
396,Bartholomew IN,39.205843,-85.8979988
397,Garland AR,34.5788523,-93.1469323
398,Washakie WY,43.8788305,-107.669052
399,Koochiching MN,48.2453743,-93.7828956
400,Upton TX,31.3538163,-102.0415461
401,San Francisco CA,37.7272391,-123.0322294
402,Monongalia WV,39.6336448,-80.0590736
403,Randall TX,34.962529,-101.8955472
404,Howard MO,39.143365,-92.6959255
405,Calhoun FL,30.3888013,-85.1979155
406,Kingsbury SD,44.3629687,-97.499313
407,Floyd TX,34.0737305,-101.3032742
408,Linn OR,44.4888982,-122.5372084
409,Potter TX,35.3986751,-101.893804
410,Carter TN,36.2847441,-82.1265932
411,Nassau NY,40.7296118,-73.5894144
412,Avery NC,36.07209,-81.9202847
413,Adams ID,44.877004,-116.4616241
414,Tuolumne CA,38.0214344,-119.9647335
415,Maricao PR,18.1739559,-66.9355468
416,Darke OH,40.1315415,-84.6212484
417,McDowell WV,37.3827274,-81.6581833
418,New Haven CT,41.3497185,-72.9002033
419,Rock WI,42.6698802,-89.0752844
420,Tuscola MI,43.4879024,-83.436618
421,Mississippi AR,35.7669437,-90.0522072
422,Monroe MS,33.8900295,-88.4850379
423,Swisher TX,34.5263193,-101.7438647
424,El Dorado CA,38.7856116,-120.5342245
425,Gates NC,36.4421353,-76.7023552
426,Cavalier ND,48.7684388,-98.4637903
427,Frio TX,28.8693343,-99.1087876
428,Merrimack NH,43.2995786,-71.6800412
429,Bulloch GA,32.3917111,-81.744021
430,Pontotoc MS,34.2270808,-89.0372387
431,Burnet TX,30.7896305,-98.2011868
432,Stewart GA,32.073225,-84.8349117
433,Lauderdale AL,34.9041221,-87.6509966
434,Portsmouth VA,36.8593388,-76.3569725
435,Cleburne AL,33.6719637,-85.5161261
436,Williamson TN,35.8948075,-86.8980679
437,Cass IL,39.9692024,-90.2457045
438,Boise ID,43.9872749,-115.7151105
439,Shoshone ID,47.3476935,-115.8850916
440,Jones IA,42.1251175,-91.1169141
441,Dale AL,31.4306536,-85.609476
442,Daggett UT,40.890099,-109.5057855
443,Guadalupe NM,34.8697822,-104.7849677
444,Albemarle VA,38.0241841,-78.5535056
445,Claiborne MS,31.9728096,-90.9154239
446,Tallapoosa AL,32.8633076,-85.7996176
447,Baylor TX,33.6188024,-99.2081888
448,Grant MN,45.9307426,-96.0106987
449,Crawford KS,37.5058215,-94.8538967
450,Hillsborough NH,42.9115317,-71.7230554
451,Nueces TX,27.7400315,-97.5162143
452,Rensselaer NY,42.7104206,-73.5138454
453,Yavapai AZ,34.631071,-112.5772247
454,Morris NJ,40.8588961,-74.5472917
455,Sullivan MO,40.209587,-93.1097826
456,Scurry TX,32.7443531,-100.9133465
457,Clark KS,37.2338311,-99.8138686
458,Gladwin MI,43.9897504,-84.3898162
459,Lancaster SC,34.6868182,-80.7036885
460,Bergen NJ,40.9596985,-74.0747272
461,Carolina PR,18.3967757,-65.9687781
462,Wayne UT,38.2598402,-110.990877
463,Lawrence IL,38.7189542,-87.7302207
464,Champaign IL,40.1389845,-88.1969749
465,Tulsa OK,36.1203177,-95.9418132
466,Noble OH,39.7672317,-81.452493
467,Muscatine IA,41.483776,-91.1186992
468,Gilmer WV,38.9158671,-80.8494132
469,Itawamba MS,34.2810747,-88.3631269
470,Knox ME,44.0420446,-69.0385145
471,Conejos CO,37.2134065,-106.1764473
472,West Baton Rouge LA,30.4640516,-91.309808
473,Suffolk VA,36.6971573,-76.6347808
474,Clinton MO,39.6087233,-94.3958028
475,Union OH,40.2959008,-83.3670416
476,Madison LA,32.3468782,-91.2319321
477,Cedar NE,42.6045604,-97.2568696
478,DeKalb MO,39.8946645,-94.4071901
479,Manassas VA,38.7468077,-77.4826328
480,Luquillo PR,18.3679961,-65.7099036
481,Crawford PA,41.687876,-80.107795
482,Hamblen TN,36.2183967,-83.2660711
483,Hockley TX,33.605932,-102.3433978
484,Panola TX,32.1639784,-94.3051563
485,Wabaunsee KS,38.9551537,-96.2012619
486,Atlantic NJ,39.4693555,-74.6337591
487,Manitowoc WI,44.156137,-87.5773525
488,Stone AR,35.8570011,-92.1404819
489,Churchill NV,39.5377097,-118.2641661
490,Middlesex CT,41.4330028,-72.5227802
491,Decatur KS,39.783542,-100.4597084
492,Morgan OH,39.6249458,-81.8616967
493,Lyon KS,38.4554034,-96.1616407
494,Lincoln NC,35.4884913,-81.2268916
495,Toombs GA,32.1178118,-82.3306257
496,Warren IN,40.3526584,-87.3758466
497,Gilchrist FL,29.7234556,-82.7958011
498,Emporia VA,36.696182,-77.5359753
499,Dubois IN,38.3733441,-86.8733845
500,Hughes OK,35.0529339,-96.2511829
501,Pondera MT,48.2286037,-112.2207612
502,McDonald MO,36.630218,-94.3439556
503,Kinney TX,29.3470865,-100.4177003
504,Lincoln LA,32.6018231,-92.6623026
505,Oldham TX,35.4019206,-102.5976203
506,Glades FL,26.9548102,-81.1908197
507,Orange VA,38.250193,-78.0096224
508,Marshall AL,34.3095637,-86.3216681
509,Ford IL,40.5965386,-88.2245882
